id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt0407887,The Departed,2006,1199253,8563,2979,3880,6691,14944,40480,134726,331057,381314,274619
tt4566758,Mulan,2020,114134,15447,4481,5607,8278,14384,20279,18398,11237,5199,10824
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018,226493,3628,2860,5312,10591,23276,49421,63413,36840,13840,17312
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,380307,20528,9154,13231,19702,34791,60107,83291,67434,35312,36757
tt2584384,Jojo Rabbit,2019,306643,2739,1216,1712,2930,6836,20128,57917,102414,65994,44757
tt2250912,Spider-Man: Homecoming,2017,519824,7106,2558,3652,6845,18278,54551,148884,160159,66007,51784
tt0116629,Independence Day,1996,530236,10329,6926,10525,17889,37557,86085,155540,113689,47543,44153
tt1477834,Aquaman,2018,376872,8885,4799,7930,13862,28052,57098,95395,80500,37302,43049
tt0482571,The Prestige,2006,1200223,5431,2100,2942,5991,13829,40781,137919,324616,379578,287036
tt5052448,Get Out,2017,498800,6691,2451,3624,6181,14281,39384,112512,167547,89273,56856
tt1485796,The Greatest Showman,2017,242536,2306,1509,2504,4671,9986,22375,45436,58245,38825,56679
tt6571548,The White Tiger,2021,33876,1270,277,336,502,1373,4340,10975,8885,3161,2757
tt0083658,Blade Runner,1982,698250,6232,3814,5729,9746,20675,47352,106215,174173,157913,166401
tt0099348,Dances with Wolves,1990,242200,2127,1138,1757,2930,6432,15391,42196,77537,50399,42293
tt0144084,American Psycho,2000,497097,4124,2785,4202,7912,18108,48020,120881,154541,78179,58345
tt3794354,Sonic the Hedgehog,2020,92783,1291,849,1687,3631,9204,21584,28197,13774,4623,7943
tt0078748,Alien,1979,793688,4430,2083,2998,5446,12486,32930,106032,223799,224178,179306
tt1386697,Suicide Squad,2016,606001,24699,19111,29161,47274,81842,125795,123816,71288,29877,53138
tt0120815,Saving Private Ryan,1998,1245362,8917,3911,5107,8093,16954,42579,133149,317336,388850,320466
tt6320628,Spider-Man: Far from Home,2019,331523,3489,1402,2257,4247,11755,34850,87692,101256,47738,36837
tt0172495,Gladiator,2000,1351087,7335,3776,5634,9550,20886,51670,153932,344386,400311,353607
tt3896198,Guardians of the Galaxy Vol. 2,2017,576289,4482,2128,3382,7135,18154,56228,143530,179357,91797,70096
tt2543164,Arrival,2016,600272,6418,3164,4571,7722,17160,44991,112321,184859,134570,84496
tt0800369,Thor,2011,753303,7296,4643,8701,18530,48005,127622,250040,166189,60035,62242
tt1211837,Doctor Strange,2016,605367,4273,1951,3312,7245,20775,63399,164855,191291,84740,63526
tt1250777,Kick-Ass,2010,527004,6520,3170,4609,8527,19141,50033,124791,163754,83276,63183
tt1300854,Iron Man Three,2013,761432,10213,4721,8808,17060,42594,111571,219329,185249,78921,82966
tt4126476,After,2019,39897,3383,1957,2542,3545,5626,6128,4745,3157,1769,7045
tt1981677,Pitch Perfect,2012,278254,3550,1997,3181,6135,15173,38142,75015,63280,31012,40769
tt0087538,The Karate Kid,1984,200201,1108,825,1465,3177,9188,27038,64906,50133,19724,22637
tt1273235,Srpski film,2010,58105,10352,2963,3466,4722,7099,8189,7903,5557,2693,5161
tt1392170,The Hunger Games,2012,848479,13849,6155,9774,18614,42768,105096,228593,212591,99654,111385
tt10919380,Freaky,2020,26520,720,359,664,1211,3213,6971,7535,3357,1028,1462
tt1051906,The Invisible Man,2020,172490,2660,1444,2322,4164,10049,26229,55698,44346,15518,10060
tt0477348,No Country for Old Men,2007,864616,12155,4919,6473,10222,21518,49934,133059,252957,220548,152831
tt0086250,Scarface,1983,747815,5175,2380,3684,6329,13333,35390,106469,218475,192748,163832
tt0089218,The Goonies,1985,246284,1531,1088,1809,3556,8357,21824,50543,70642,37917,49017
tt0137523,Fight Club,1999,1869470,17506,6984,8652,12731,24906,53433,153458,374682,576496,640622
tt4263482,The VVitch: A New-England Folktale,2015,207330,7713,4013,5717,8806,16279,30222,48893,46096,23199,16392
tt1392190,Mad Max: Fury Road,2015,889660,12835,6403,8765,13322,26307,59390,139055,235521,211933,176129
tt3385516,X-Men: Apocalypse,2016,396534,4333,2807,5758,12759,30816,72940,121581,83894,31308,30338
tt0083929,Fast Times at Ridgemont High,1982,95458,855,657,1046,2070,5381,14165,28573,23014,9855,9842
tt0448115,Shazam!,2019,260321,3807,1875,3132,6105,15948,42068,81180,61762,22469,21975
tt0031381,Gone with the Wind,1939,291961,4865,2338,3060,4617,8841,18421,40931,69439,57836,81613
tt2873282,Red Sparrow,2018,168232,4334,2183,3165,6124,15037,36398,52408,29631,9921,9031
tt1454029,The Help,2011,431406,3583,1213,1664,3052,7557,21695,72865,145781,100159,73837
tt1024648,Argo,2012,576242,7753,2474,3442,5990,15401,46205,142837,204151,99655,48334
tt4633694,Spider-Man: Into the Spider-Verse,2018,384390,4263,1115,1284,2022,4950,14354,47085,102832,111792,94693
tt1392214,Prisoners,2013,607549,2494,1163,1757,3260,8422,27273,104553,224571,153635,80421
tt7846844,Enola Holmes,2020,129929,2760,1404,2159,4429,11168,28127,38071,21768,8431,11612
tt0071562,The Godfather: Part II,1974,1139241,20523,3922,4377,6254,12729,26503,71292,176796,327275,489570
tt0114369,Se7en,1995,1458130,7236,3145,4268,6823,14914,40267,158879,394187,493051,335360
tt1343727,Dredd,2012,254012,2872,2081,3526,6727,16063,37977,72336,62061,26823,23546
