id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt0448115,Shazam!,2019,260369,3808,1874,3132,6107,15950,42076,81197,61773,22473,21979
tt0031381,Gone with the Wind,1939,291976,4865,2338,3060,4618,8844,18422,40930,69442,57843,81614
tt2873282,Red Sparrow,2018,168250,4334,2183,3165,6126,15040,36399,52418,29632,9922,9031
tt11307814,Red Dot,2021,9135,478,329,548,983,1940,2491,1495,529,132,210
tt1454029,The Help,2011,431426,3583,1213,1664,3052,7559,21696,72870,145785,100163,73841
tt12838766,Seungriho,2021,15159,300,213,358,621,1317,3049,4090,2636,1028,1547
tt1024648,Argo,2012,576278,7753,2475,3442,5992,15403,46207,142845,204165,99658,48338
tt4633694,Spider-Man: Into the Spider-Verse,2018,384493,4264,1116,1284,2024,4951,14358,47093,102853,111829,94721
tt1392214,Prisoners,2013,607613,2494,1165,1756,3262,8422,27275,104561,224597,153650,80431
tt7846844,Enola Holmes,2020,129983,2760,1405,2159,4429,11174,28140,38091,21774,8432,11619
tt0071562,The Godfather: Part II,1974,1139344,20526,3922,4378,6254,12732,26505,71297,176813,327306,489611
tt0114369,Se7en,1995,1458266,7236,3145,4269,6825,14916,40270,158890,394228,493101,335386
tt1343727,Dredd,2012,254033,2872,2081,3526,6728,16063,37978,72344,62069,26823,23549
tt8079248,Yesterday,2019,117167,1153,781,1482,3328,8986,24094,39033,23492,8564,6254
tt3281548,Little Women,2019,147896,1793,733,1060,1856,4288,11151,30580,46170,29655,20610
tt2005151,War Dogs,2016,181927,976,682,1311,2446,7716,28476,72092,48071,12507,7650
tt0409459,Watchmen,2009,503743,9700,4752,6687,11004,22236,47019,95661,134766,92296,79622
tt2802144,Kingsman: The Secret Service,2014,594093,4767,2582,3999,7288,17709,49385,134192,194464,105038,74669
tt2911666,John Wick,2014,544127,4622,3210,5067,9365,23412,61598,146985,154129,71638,64101
tt0414387,Pride & Prejudice,2005,261889,2906,1409,1942,3446,7950,20615,50938,70140,43864,58679
tt0108358,Tombstone,1993,127947,737,402,733,1449,3891,9971,25211,36792,22794,25967
tt7784604,Hereditary,2018,245331,8088,3960,5226,7902,14551,28207,53162,60926,37730,25579
tt0805647,The Witches,2020,25107,2023,1015,1528,2691,5051,5736,3609,1595,555,1304
tt5013056,Dunkirk,2017,562313,7505,3447,4850,8103,18092,45750,110292,163264,117708,83302
tt0073650,Salò o le 120 giornate di Sodoma,1975,54769,5506,2186,2644,3537,5859,8274,9003,7369,4096,6295
tt2194499,About Time,2013,307272,1491,868,1486,3019,7732,22871,63104,97223,57384,52094
tt1293847,xXx: Return of Xander Cage,2017,85926,5956,4080,6051,10165,17929,18261,11042,4955,2055,5432
tt1469304,Baywatch,2017,163621,6311,5243,8928,15856,31321,42339,28080,12013,4231,9299
tt10554232,Dara iz Jasenovca,2020,33599,2108,123,67,91,122,167,212,347,685,29677
